id,title,description,brand,item_group_id,google_product_category,product_type,gtin,mpn,link,mobile_link,image_link,additional_image_links,platform_specific_link,lifestyle_image_link,price,sale_price,sale_price_effective_date,cost_of_goods_sold,availability,age_group,color,gender,size,size_type,material,pattern,condition,product_detail,product_highlight,adult,is_bundle,expiration_date,average_review_rating,number_of_ratings,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4
57,Sheet Mask Pack,"Variety pack of 10 sheet masks with green tea, honey, and collagen.",PureSkin,beauty-face,Health & Beauty > Skin Care > Face Masks,Beauty > Face Masks,,SNOO-057,https://snoocommerce.onrender.com/product/57,https://snoocommerce.onrender.com/product/57,https://images.unsplash.com/photo-1596755389378-c31d21fd1273?w=400&h=400&fit=crop,,,,15.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.4,112,Beauty,,,,,,,,,,
58,Ergonomic Chair Cushion,Memory foam seat cushion with cooling gel layer and non-slip base.,LumiDesk,office-accessories,Office Supplies > Office Furniture > Chair Accessories,Office > Accessories,,SNOO-058,https://snoocommerce.onrender.com/product/58,https://snoocommerce.onrender.com/product/58,https://images.unsplash.com/photo-1580480055273-228ff5388ef8?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,74,Office,,,,,,,,,,
59,Trekking Poles,Collapsible aluminum trekking poles with cork grips and tungsten tips.,TrailBound,outdoor-hiking,Sporting Goods > Outdoor Recreation > Hiking > Trekking Poles,Outdoor > Trekking,,SNOO-059,https://snoocommerce.onrender.com/product/59,https://snoocommerce.onrender.com/product/59,https://images.unsplash.com/photo-1551632811-561732d1e306?w=400&h=400&fit=crop,,,,54.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,48,Outdoor,,,,,,,,,,
60,Plush Stuffed Animal,"Super-soft plush bear made with hypoallergenic filling, machine washable.",PuzzleCo,toys-plush,Toys & Games > Stuffed Animals > Bears,Toys > Plush,,SNOO-060,https://snoocommerce.onrender.com/product/60,https://snoocommerce.onrender.com/product/60,https://images.unsplash.com/photo-1559715541-5daf8a0296d0?w=400&h=400&fit=crop,,,,16.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,91,Toys,,,,,,,,,,
61,Noise Machine,"White noise machine with 20 soothing sounds, timer, and compact design.",SoundWave,electronics-audio,Electronics > Audio > Sound Machines,Electronics > Sound,,SNOO-061,https://snoocommerce.onrender.com/product/61,https://snoocommerce.onrender.com/product/61,https://images.unsplash.com/photo-1558089687-f282ffcbc126?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,87,Electronics,,,,,,,,,,
62,Flannel Shirt,Brushed cotton flannel shirt in a classic buffalo plaid pattern.,ThreadBase,clothing-tops,Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,,SNOO-062,https://snoocommerce.onrender.com/product/62,https://snoocommerce.onrender.com/product/62,https://images.unsplash.com/photo-1589310243389-96a5483213a8?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,plaid,new,,,FALSE,FALSE,,4.2,58,Clothing,,,,,,,,,,
63,Spice Rack,Rotating countertop spice rack with 16 labeled glass jars.,IronHearth,kitchen-storage,Home & Garden > Kitchen > Spice Racks,Kitchen > Storage,,SNOO-063,https://snoocommerce.onrender.com/product/63,https://snoocommerce.onrender.com/product/63,https://images.unsplash.com/photo-1532336414038-cf19250c5757?w=400&h=400&fit=crop,,,,27.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,44,Kitchen,,,,,,,,,,
64,Watch Box,Luxury vegan leather watch box with 6 padded slots and glass top.,TimeCraft,accessories-storage,Apparel & Accessories > Jewelry > Watch Accessories,Accessories > Watch Storage,,SNOO-064,https://snoocommerce.onrender.com/product/64,https://snoocommerce.onrender.com/product/64,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,36,Accessories,,,,,,,,,,
65,Sunscreen SPF 50,"Mineral sunscreen with SPF 50, reef-safe formula, and no white cast.",PureSkin,beauty-sun,Health & Beauty > Skin Care > Sunscreen,Beauty > Sunscreen,,SNOO-065,https://snoocommerce.onrender.com/product/65,https://snoocommerce.onrender.com/product/65,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=400&h=400&fit=crop,,,,16.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,103,Beauty,,,,,,,,,,
66,Monitor Stand,Bamboo monitor riser with storage drawer and cable management slots.,LumiDesk,office-furniture,Office Supplies > Office Furniture > Monitor Stands,Office > Stands,,SNOO-066,https://snoocommerce.onrender.com/product/66,https://snoocommerce.onrender.com/product/66,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,51,Office,,,,,,,,,,
67,Cooler Bag,Insulated soft cooler bag that fits 24 cans with leak-proof liner.,TrailBound,outdoor-camping,Sporting Goods > Outdoor Recreation > Camping > Coolers,Outdoor > Coolers,,SNOO-067,https://snoocommerce.onrender.com/product/67,https://snoocommerce.onrender.com/product/67,https://images.unsplash.com/photo-1622260614153-03223fb72052?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,63,Outdoor,,,,,,,,,,
68,Card Game Party,"Fast-paced card game for 3-10 players, perfect for game nights.",PuzzleCo,toys-games,Toys & Games > Card Games,Toys > Card Games,,SNOO-068,https://snoocommerce.onrender.com/product/68,https://snoocommerce.onrender.com/product/68,https://images.unsplash.com/photo-1612404730960-5c71577fca11?w=400&h=400&fit=crop,,,,14.99 USD,,,,in stock,adult,,unisex,,,,printed,new,,,FALSE,FALSE,,4.5,72,Toys,,,,,,,,,,
69,Tablet Stand,Adjustable aluminum tablet and phone stand with non-slip silicone pads.,TechLink,electronics-accessories,Electronics > Computer Accessories > Stands,Electronics > Stands,,SNOO-069,https://snoocommerce.onrender.com/product/69,https://snoocommerce.onrender.com/product/69,https://images.unsplash.com/photo-1585790050230-5dd28404ccb9?w=400&h=400&fit=crop,,,,22.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,46,Electronics,,,,,,,,,,
70,Jogger Pants,Tapered jogger pants with elastic waistband and zippered side pockets.,ThreadBase,clothing-bottoms,Apparel & Accessories > Clothing > Pants,Clothing > Pants,,SNOO-070,https://snoocommerce.onrender.com/product/70,https://snoocommerce.onrender.com/product/70,https://images.unsplash.com/photo-1552902865-b72c031ac5ea?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,82,Clothing,,,,,,,,,,
71,Mixing Bowl Set,Nesting stainless steel mixing bowls in 5 sizes with non-slip bottoms.,IronHearth,kitchen-cookware,Home & Garden > Kitchen > Mixing Bowls,Kitchen > Bowls,,SNOO-071,https://snoocommerce.onrender.com/product/71,https://snoocommerce.onrender.com/product/71,https://images.unsplash.com/photo-1591261730799-ee4e6c2d16d7?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.4,55,Kitchen,,,,,,,,,,
72,Silk Scarf,"Hand-printed pure silk scarf in a vibrant floral pattern, 35x35 inches.",ShadeVault,accessories-scarves,Apparel & Accessories > Clothing Accessories > Scarves,Accessories > Scarves,,SNOO-072,https://snoocommerce.onrender.com/product/72,https://snoocommerce.onrender.com/product/72,https://images.unsplash.com/photo-1601370690183-1c7796ecec61?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,floral,new,,,FALSE,FALSE,,4.5,41,Accessories,,,,,,,,,,
73,Body Lotion,"Hydrating body lotion with cocoa butter and vitamin E, lightly scented.",PureSkin,beauty-body,Health & Beauty > Skin Care > Body Lotion,Beauty > Body Care,,SNOO-073,https://snoocommerce.onrender.com/product/73,https://snoocommerce.onrender.com/product/73,https://images.unsplash.com/photo-1608248597279-f99d160bfcbc?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,67,Beauty,,,,,,,,,,
74,Whiteboard,Magnetic dry-erase whiteboard 24x36 with aluminum frame and marker tray.,InkWell,office-supplies,Office Supplies > Presentation Supplies > Whiteboards,Office > Whiteboards,,SNOO-074,https://snoocommerce.onrender.com/product/74,https://snoocommerce.onrender.com/product/74,https://images.unsplash.com/photo-1532619675605-1ede6c2ed2b0?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,29,Office,,,,,,,,,,
75,Portable Grill,Compact charcoal grill with foldable legs and stainless steel grate.,TrailBound,outdoor-cooking,Sporting Goods > Outdoor Recreation > Camping > Grills,Outdoor > Grills,,SNOO-075,https://snoocommerce.onrender.com/product/75,https://snoocommerce.onrender.com/product/75,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400&h=400&fit=crop,,,,89.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,58,Outdoor,,,,,,,,,,
76,Art Supply Kit,"Complete art kit with colored pencils, watercolors, brushes, and sketch pad.",PuzzleCo,toys-creative,Toys & Games > Arts & Crafts > Drawing & Painting,Toys > Art,,SNOO-076,https://snoocommerce.onrender.com/product/76,https://snoocommerce.onrender.com/product/76,https://images.unsplash.com/photo-1513364776144-60967b0f800f?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,TRUE,FALSE,,4.3,94,Toys,,,,,,,,,,
77,LED Strip Lights,16ft RGB LED strip lights with remote control and 16 color modes.,LumiDesk,electronics-lighting,Electronics > Lighting > LED Strips,Electronics > Lighting,,SNOO-077,https://snoocommerce.onrender.com/product/77,https://snoocommerce.onrender.com/product/77,https://images.unsplash.com/photo-1550535424-b498819c7faa?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,137,Electronics,,,,,,,,,,
78,Rain Jacket,Packable waterproof rain jacket with sealed seams and adjustable hood.,TrailBound,clothing-outerwear,Apparel & Accessories > Clothing > Outerwear > Rain Jackets,Clothing > Jackets,,SNOO-078,https://snoocommerce.onrender.com/product/78,https://snoocommerce.onrender.com/product/78,https://images.unsplash.com/photo-1545594861-3bef43ff2fc8?w=400&h=400&fit=crop,,,,69.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,73,Clothing,,,,,,,,,,
79,Coffee Grinder,Conical burr coffee grinder with 18 grind settings for any brew method.,BrewMaster,kitchen-coffee,Home & Garden > Kitchen > Coffee Grinders,Kitchen > Coffee,,SNOO-079,https://snoocommerce.onrender.com/product/79,https://snoocommerce.onrender.com/product/79,https://images.unsplash.com/photo-1517701550927-30cf4ba1dba5?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,109,Kitchen,,,,,,,,,,
80,Baseball Cap,Classic unstructured baseball cap in washed cotton with adjustable strap.,ThreadBase,accessories-hats,Apparel & Accessories > Clothing Accessories > Hats,Accessories > Hats,,SNOO-080,https://snoocommerce.onrender.com/product/80,https://snoocommerce.onrender.com/product/80,https://images.unsplash.com/photo-1588850561407-ed78c334e67a?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,52,Accessories,,,,,,,,,,
81,Hair Oil,Lightweight argan hair oil that tames frizz and adds shine without residue.,PureSkin,beauty-hair,Health & Beauty > Hair Care > Hair Oil,Beauty > Hair Care,,SNOO-081,https://snoocommerce.onrender.com/product/81,https://snoocommerce.onrender.com/product/81,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=400&h=400&fit=crop,,,,22.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,88,Beauty,,,,,,,,,,
82,Desk Calendar,Minimalist standing desk calendar with monthly view and note space.,InkWell,office-stationery,Office Supplies > Paper Products > Calendars,Office > Calendars,,SNOO-082,https://snoocommerce.onrender.com/product/82,https://snoocommerce.onrender.com/product/82,https://images.unsplash.com/photo-1506784365847-bbad939e9335?w=400&h=400&fit=crop,,,,12.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,3.9,25,Office,,,,,,,,,,
83,Headlamp,Rechargeable 350-lumen headlamp with red light mode and IPX5 waterproofing.,TrailBound,outdoor-lighting,Sporting Goods > Outdoor Recreation > Camping > Headlamps,Outdoor > Headlamps,,SNOO-083,https://snoocommerce.onrender.com/product/83,https://snoocommerce.onrender.com/product/83,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=400&h=400&fit=crop,,,,22.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,67,Outdoor,,,,,,,,,,
84,Marble Run Kit,120-piece marble run construction set for creative STEM play ages 5+.,PuzzleCo,toys-building,Toys & Games > Building Toys > Marble Runs,Toys > Building,,SNOO-084,https://snoocommerce.onrender.com/product/84,https://snoocommerce.onrender.com/product/84,https://images.unsplash.com/photo-1587654780291-39c9404d7dd5?w=400&h=400&fit=crop,,,,27.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,TRUE,FALSE,,4.4,76,Toys,,,,,,,,,,
85,Wireless Charger,15W fast wireless charging pad compatible with all Qi-enabled devices.,TechLink,electronics-accessories,Electronics > Computer Accessories > Chargers,Electronics > Chargers,,SNOO-085,https://snoocommerce.onrender.com/product/85,https://snoocommerce.onrender.com/product/85,https://images.unsplash.com/photo-1586953208448-b95a79798f07?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,114,Electronics,,,,,,,,,,
86,Polo Shirt,Piqué cotton polo shirt with a tailored fit and contrast collar tipping.,ThreadBase,clothing-tops,Apparel & Accessories > Clothing > Shirts & Tops > Polos,Clothing > Polos,,SNOO-086,https://snoocommerce.onrender.com/product/86,https://snoocommerce.onrender.com/product/86,https://images.unsplash.com/photo-1586363104862-3a5e2ab60d99?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,49,Clothing,,,,,,,,,,
87,Toaster,"Retro-style 2-slice toaster with extra-wide slots and 7 browning levels.",IronHearth,kitchen-appliances,Home & Garden > Kitchen > Toasters,Kitchen > Toasters,,SNOO-087,https://snoocommerce.onrender.com/product/87,https://snoocommerce.onrender.com/product/87,https://images.unsplash.com/photo-1585664811087-47f65abbad64?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,61,Kitchen,,,,,,,,,,
88,Keychain Multitool,Compact 10-in-1 multitool keychain in stainless steel with bottle opener.,TrailBound,accessories-tools,Tools > Hand Tools > Multitools,Accessories > Multitools,,SNOO-088,https://snoocommerce.onrender.com/product/88,https://snoocommerce.onrender.com/product/88,https://images.unsplash.com/photo-1567361808960-dec9cb578182?w=400&h=400&fit=crop,,,,14.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,43,Accessories,,,,,,,,,,
89,Bath Bomb Set,Box of 6 fizzy bath bombs in assorted scents with moisturizing essential oils.,GlowHaven,beauty-bath,Health & Beauty > Bath & Body > Bath Bombs,Beauty > Bath,,SNOO-089,https://snoocommerce.onrender.com/product/89,https://snoocommerce.onrender.com/product/89,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=400&h=400&fit=crop,,,,21.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.5,95,Beauty,,,,,,,,,,
90,Sticky Notes Cube,Cube of 400 pastel sticky notes in 4 colors for quick reminders.,InkWell,office-stationery,Office Supplies > Paper Products > Sticky Notes,Office > Notes,,SNOO-090,https://snoocommerce.onrender.com/product/90,https://snoocommerce.onrender.com/product/90,https://images.unsplash.com/photo-1586281380349-632531db7ed4?w=400&h=400&fit=crop,,,,9.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,31,Office,,,,,,,,,,
91,Dry Bag,"Roll-top 20L waterproof dry bag for kayaking, hiking, and beach trips.",TrailBound,outdoor-water,Sporting Goods > Outdoor Recreation > Water Sports > Dry Bags,Outdoor > Bags,,SNOO-091,https://snoocommerce.onrender.com/product/91,https://snoocommerce.onrender.com/product/91,https://images.unsplash.com/photo-1501554728187-ce583db33af7?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,54,Outdoor,,,,,,,,,,
92,Play Dough Set,Non-toxic play dough in 12 bright colors with shaping tools for kids 2+.,PuzzleCo,toys-creative,Toys & Games > Arts & Crafts > Modeling Clay & Dough,Toys > Creative,,SNOO-092,https://snoocommerce.onrender.com/product/92,https://snoocommerce.onrender.com/product/92,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=400&h=400&fit=crop,,,,12.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,TRUE,FALSE,,4.2,68,Toys,,,,,,,,,,
93,Monitor Light Bar,Screen-mounted LED light bar with asymmetric optics to reduce glare.,LumiDesk,electronics-lighting,Electronics > Lighting > Desk Lamps,Electronics > Lighting,,SNOO-093,https://snoocommerce.onrender.com/product/93,https://snoocommerce.onrender.com/product/93,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,148,Electronics,,,,,,,,,,
94,Swim Trunks,Quick-dry swim trunks with elastic waist and mesh liner.,ThreadBase,clothing-bottoms,Apparel & Accessories > Clothing > Swimwear,Clothing > Swimwear,,SNOO-094,https://snoocommerce.onrender.com/product/94,https://snoocommerce.onrender.com/product/94,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,37,Clothing,,,,,,,,,,
95,Baking Sheet Set,Set of 2 non-stick aluminum baking sheets with silicone mats included.,IronHearth,kitchen-bakeware,Home & Garden > Kitchen > Bakeware > Baking Sheets,Kitchen > Bakeware,,SNOO-095,https://snoocommerce.onrender.com/product/95,https://snoocommerce.onrender.com/product/95,https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.4,59,Kitchen,,,,,,,,,,
96,Umbrella,Windproof compact travel umbrella with automatic open/close and UV coating.,UrbanCarry,accessories-rain,Apparel & Accessories > Clothing Accessories > Umbrellas,Accessories > Umbrellas,,SNOO-096,https://snoocommerce.onrender.com/product/96,https://snoocommerce.onrender.com/product/96,https://images.unsplash.com/photo-1534309466160-70b22cc6254b?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,47,Accessories,,,,,,,,,,
97,Exfoliating Scrub,"Gentle walnut shell face scrub with aloe vera for smooth, refreshed skin.",PureSkin,beauty-skincare,Health & Beauty > Skin Care > Exfoliators,Beauty > Skincare,,SNOO-097,https://snoocommerce.onrender.com/product/97,https://snoocommerce.onrender.com/product/97,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=400&h=400&fit=crop,,,,17.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,82,Beauty,,,,,,,,,,
98,Filing Cabinet,Rolling 3-drawer metal filing cabinet with lock and integrated casters.,LumiDesk,office-furniture,Office Supplies > Office Furniture > Filing Cabinets,Office > Storage,,SNOO-098,https://snoocommerce.onrender.com/product/98,https://snoocommerce.onrender.com/product/98,https://images.unsplash.com/photo-1507842217343-583bb7270b66?w=400&h=400&fit=crop,,,,129.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,22,Office,,,,,,,,,,
99,Compass,"Professional-grade liquid-filled compass with luminous dial and lanyard.",TrailBound,outdoor-navigation,Sporting Goods > Outdoor Recreation > Hiking > Compasses,Outdoor > Navigation,,SNOO-099,https://snoocommerce.onrender.com/product/99,https://snoocommerce.onrender.com/product/99,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=400&h=400&fit=crop,,,,14.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,38,Outdoor,,,,,,,,,,
100,Kite,"Large rainbow delta kite with 50m line, easy to fly for kids and adults.",PuzzleCo,toys-outdoor,Toys & Games > Outdoor Toys > Kites,Toys > Kites,,SNOO-100,https://snoocommerce.onrender.com/product/100,https://snoocommerce.onrender.com/product/100,https://images.unsplash.com/photo-1601758003122-53c40e686a19?w=400&h=400&fit=crop,,,,17.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,71,Toys,,,,,,,,,,
